date_us_open,tag,side,entry_time,entry,tp,sl,exit_time,exit,reason,pips
2025-01-06,base,long,2025-01-06 16:30:00+00:00,1.0403,1.042329,1.038803,2025-01-06 17:09:00+00:00,1.038703,SL,-15.97
2025-01-08,base,long,2025-01-08 15:06:00+00:00,1.03106,1.031614,1.030201,2025-01-08 15:10:00+00:00,1.030101,SL,-9.59
2025-01-09,base,short,2025-01-10 13:30:00+00:00,1.0246,1.029961,1.030564,2025-01-10 13:30:00+00:00,1.029961,TP,-53.61
2025-01-09,reentry,short,2025-01-10 13:31:00+00:00,1.02555,1.029226,1.030397,2025-01-10 13:31:00+00:00,1.029226,TP,-36.76
2025-01-10,base,short,2025-01-10 15:06:00+00:00,1.02436,1.022938,1.025731,2025-01-10 15:15:00+00:00,1.025831,SL,-14.71
2025-01-20,base,short,2025-01-20 17:25:00+00:00,1.03568,1.033082,1.037779,2025-01-20 17:30:00+00:00,1.037879,SL,-21.99
2025-01-20,base,long,2025-01-20 19:48:00+00:00,1.04142,1.044622,1.039924,2025-01-21 00:50:00+00:00,1.039824,SL,-15.96
2025-01-20,base,short,2025-01-21 00:56:00+00:00,1.0356,1.033082,1.037779,2025-01-21 01:11:00+00:00,1.037879,SL,-22.79
2025-01-23,base,short,2025-01-23 16:27:00+00:00,1.03975,1.039981,1.040656,2025-01-23 16:27:00+00:00,1.039981,TP_samebar,-2.31
2025-01-29,base,long,2025-01-29 19:01:00+00:00,1.04101,1.041065,1.040201,2025-01-29 19:01:00+00:00,1.040101,SL,-9.09
2025-01-30,base,long,2025-01-30 15:41:00+00:00,1.04394,1.044764,1.042921,2025-01-30 15:47:00+00:00,1.042821,SL,-11.19
2025-01-30,base,long,2025-01-30 15:48:00+00:00,1.04377,1.044764,1.042921,2025-01-30 15:55:00+00:00,1.042821,SL,-9.49
2025-01-30,base,short,2025-01-30 20:38:00+00:00,1.04062,1.040219,1.042061,2025-01-30 20:38:00+00:00,1.040219,TP,4.01
2025-01-30,reentry,short,2025-01-30 20:39:00+00:00,1.0393,1.038507,1.041631,2025-01-30 23:12:00+00:00,1.038507,TP,7.93
2025-01-31,base,short,2025-01-31 18:33:00+00:00,1.03628,1.036351,1.03726,2025-01-31 18:33:00+00:00,1.036351,TP_samebar,-0.71
2025-01-31,base,short,2025-01-31 20:53:00+00:00,1.03641,1.036351,1.03726,2025-01-31 20:53:00+00:00,1.036351,TP,0.59
2025-01-31,base,short,2025-01-31 21:08:00+00:00,1.03657,1.036351,1.03726,2025-01-31 21:08:00+00:00,1.03736,SL,-7.9
2025-02-03,base,long,2025-02-03 15:21:00+00:00,1.02768,1.027431,1.025677,2025-02-03 15:21:00+00:00,1.027431,TP_samebar,-2.49
2025-02-03,reentry,long,2025-02-03 15:22:00+00:00,1.02786,1.029068,1.026094,2025-02-03 15:23:00+00:00,1.029068,TP,12.08
2025-02-06,base,short,2025-02-07 13:32:00+00:00,1.03502,1.035292,1.036462,2025-02-07 13:32:00+00:00,1.035292,TP_samebar,-2.72
2025-02-06,base,short,2025-02-07 13:51:00+00:00,1.03572,1.035292,1.036462,2025-02-07 13:58:00+00:00,1.036562,SL,-8.42
2025-02-07,base,short,2025-02-07 15:38:00+00:00,1.03726,1.037109,1.038006,2025-02-07 15:46:00+00:00,1.038106,SL,-8.46
2025-02-07,base,short,2025-02-07 15:53:00+00:00,1.0349,1.037109,1.038006,2025-02-07 15:53:00+00:00,1.037109,TP_samebar,-22.09
2025-02-07,reentry,short,2025-02-07 15:54:00+00:00,1.03435,1.036149,1.037768,2025-02-07 15:54:00+00:00,1.036149,TP,-17.99
2025-02-11,base,long,2025-02-12 14:07:00+00:00,1.03375,1.033792,1.033081,2025-02-12 14:08:00+00:00,1.033792,TP,0.42
2025-02-11,reentry,long,2025-02-12 14:12:00+00:00,1.03426,1.034606,1.033279,2025-02-12 14:16:00+00:00,1.034606,TP,3.46
2025-02-12,base,short,2025-02-12 15:10:00+00:00,1.03401,1.03358,1.03473,2025-02-12 15:24:00+00:00,1.03483,SL,-8.2
2025-02-13,base,short,2025-02-13 18:43:00+00:00,1.03813,1.037593,1.039281,2025-02-13 18:43:00+00:00,1.037593,TP,5.37
2025-02-14,base,short,2025-02-16 22:00:00+00:00,1.04847,1.04779,1.049365,2025-02-16 23:15:00+00:00,1.049465,SL,-9.95
